task_id,calibration_class_id,calibration_region_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
RADAR-08-oceania-api,api,oceania,T08,8,2,P23-S18,P23-S07,,14.74,0,3.2,9.6,80.99,1,telemetry
RADAR-08-oceania-background-sync,background-sync,oceania,T08,8,4,P26-S20,P28-S12,,8.19,0,2.4,16,95.07,3,background
RADAR-08-oceania-dns-control,dns-control,oceania,T08,8,1,P35-S04,P43-S03,,4.91,0,0.8,3.2,31.69,1,telemetry
RADAR-09-na-east-human-web,human-web,na-east,T09,9,2,P16-S07,P44-S22,,24.09,0,3.6,12,444.54,2,mixed
RADAR-09-na-east-interactive-realtime,interactive-realtime,na-east,T09,9,1,P22-S11,P54-S09,,27.53,0,2.4,7.2,248.42,1,routing
RADAR-09-na-east-api,api,na-east,T09,9,2,P25-S13,P59-S13,,30.97,0,4.8,14.4,172.12,1,telemetry
RADAR-09-na-east-dns-control,dns-control,na-east,T09,9,1,P37-S21,P07-S09,,10.32,0,1.2,4.8,67.35,1,telemetry
RADAR-09-na-west-human-web,human-web,na-west,T09,9,2,P25-S13,P65-S06,,21.07,0,3.15,10.5,388.98,2,mixed
RADAR-09-na-west-video-streaming,video-streaming,na-west,T09,9,3,P28-S15,P70-S11,,13.55,0,2.63,18.9,823.71,3,background
RADAR-09-na-west-background-sync,background-sync,na-west,T09,9,4,P37-S21,P13-S02,,15.05,0,3.15,21,176.8,3,background
RADAR-09-europe-human-web,human-web,europe,T09,9,2,P40-S18,P34-S20,,23.68,0,3.54,11.8,437.13,2,mixed
RADAR-09-europe-interactive-realtime,interactive-realtime,europe,T09,9,1,P46-S22,P44-S07,,27.07,0,2.36,7.08,244.28,1,routing
RADAR-09-europe-api,api,europe,T09,9,2,P49-S02,P49-S11,,30.45,0,4.72,14.16,169.25,1,telemetry
RADAR-09-east-asia-human-web,human-web,east-asia,T09,9,2,P60-S02,P44-S04,,22.88,0,3.42,11.4,422.32,2,mixed
RADAR-09-east-asia-video-streaming,video-streaming,east-asia,T09,9,3,P63-S04,P49-S09,,14.71,0,2.85,20.52,894.32,3,background
RADAR-09-east-asia-automated,automated,east-asia,T09,9,2,P06-S14,P02-S09,,13.07,0,2.28,9.12,327.2,4,routing
RADAR-COMPUTE-09-east-asia,local-compute,east-asia,T09,9,3,,,P03-S12,39.22,1,9.12,36.48,0,2,compute
RADAR-09-south-america-human-web,human-web,south-america,T09,9,2,P03-S07,P42-S03,,15.25,0,2.4,8,281.54,2,mixed
RADAR-09-south-america-interactive-realtime,interactive-realtime,south-america,T09,9,1,P09-S11,P52-S12,,17.43,0,1.6,4.8,157.33,1,routing
RADAR-09-south-america-api,api,south-america,T09,9,2,P12-S13,P57-S16,,19.61,0,3.2,9.6,109.01,1,telemetry
RADAR-09-south-america-background-sync,background-sync,south-america,T09,9,4,P15-S15,P62-S21,,10.9,0,2.4,16,127.97,3,background
RADAR-09-south-america-dns-control,dns-control,south-america,T09,9,1,P24-S21,P05-S12,,6.54,0,0.8,3.2,42.66,1,telemetry
RADAR-09-oceania-human-web,human-web,oceania,T09,9,2,P15-S12,P09-S16,,12.44,0,2.4,8,229.68,2,mixed
RADAR-09-oceania-video-streaming,video-streaming,oceania,T09,9,3,P18-S14,P14-S21,,8,0,2,14.4,486.38,3,background
RADAR-09-oceania-software-update,software-update,oceania,T09,9,5,P30-S22,P34-S17,,6.22,0,1.6,28.8,324.25,4,background
RADAR-10-na-east-human-web,human-web,na-east,T10,10,2,P17-S08,P45-S22,,24.13,0,3.6,12,442.39,2,mixed
RADAR-10-na-east-video-streaming,video-streaming,na-east,T10,10,3,P20-S10,P50-S05,,15.51,0,3,21.6,936.84,3,background
RADAR-10-na-east-background-sync,background-sync,na-east,T10,10,4,P29-S16,P65-S18,,17.23,0,3.6,24,204.74,3,background
RADAR-10-na-west-human-web,human-web,na-west,T10,10,2,P26-S14,P66-S07,,21.11,0,3.15,10.5,387.1,2,mixed
RADAR-10-na-west-interactive-realtime,interactive-realtime,na-west,T10,10,1,P32-S18,P04-S16,,24.13,0,2.1,6.3,216.32,1,routing
RADAR-10-na-west-api,api,na-west,T10,10,2,P35-S20,P09-S20,,27.14,0,4.2,12.6,152.61,1,telemetry
RADAR-10-europe-human-web,human-web,europe,T10,10,2,P41-S19,P35-S20,,23.73,0,3.54,11.8,435.02,2,mixed
RADAR-10-europe-video-streaming,video-streaming,europe,T10,10,3,P44-S21,P40-S03,,15.25,0,2.95,21.24,921.22,3,background
RADAR-10-europe-automated,automated,europe,T10,10,2,P59-S09,P65-S03,,13.56,0,2.36,9.44,339.27,4,routing
RADAR-COMPUTE-10-europe,local-compute,europe,T10,10,3,,,P56-S07,40.67,1,9.44,37.76,0,2,compute
RADAR-10-east-asia-human-web,human-web,east-asia,T10,10,2,P61-S03,P45-S05,,22.92,0,3.42,11.4,420.27,2,mixed
RADAR-10-east-asia-interactive-realtime,interactive-realtime,east-asia,T10,10,1,P67-S07,P55-S14,,26.2,0,2.28,6.84,234.86,1,routing
RADAR-10-east-asia-api,api,east-asia,T10,10,2,P70-S09,P60-S18,,29.47,0,4.56,13.68,165.69,1,telemetry
RADAR-10-east-asia-background-sync,background-sync,east-asia,T10,10,4,P01-S11,P65-S01,,16.37,0,3.42,22.8,194.5,3,background
RADAR-10-east-asia-dns-control,dns-control,east-asia,T10,10,1,P10-S17,P08-S14,,9.82,0,1.14,4.56,64.83,1,telemetry
RADAR-10-south-america-human-web,human-web,south-america,T10,10,2,P04-S08,P43-S03,,15.28,0,2.4,8,280.18,2,mixed
RADAR-10-south-america-video-streaming,video-streaming,south-america,T10,10,3,P07-S10,P48-S08,,9.82,0,2,14.4,593.33,3,background
RADAR-10-south-america-software-update,software-update,south-america,T10,10,5,P19-S18,P68-S04,,7.64,0,1.6,28.8,395.55,4,background
RADAR-10-oceania-human-web,human-web,oceania,T10,10,2,P16-S13,P10-S17,,12.47,0,2.4,8,228.57,2,mixed
RADAR-10-oceania-interactive-realtime,interactive-realtime,oceania,T10,10,1,P22-S17,P20-S04,,14.25,0,1.6,4.8,127.73,1,routing
RADAR-10-oceania-api,api,oceania,T10,10,2,P25-S19,P25-S08,,16.03,0,3.2,9.6,90.11,1,telemetry
RADAR-11-na-east-human-web,human-web,na-east,T11,11,2,P18-S08,P46-S01,,22.64,0,3.6,12,412.3,2,mixed
RADAR-11-na-east-interactive-realtime,interactive-realtime,na-east,T11,11,1,P24-S12,P56-S10,,25.87,0,2.4,7.2,230.4,1,routing
RADAR-11-na-east-api,api,na-east,T11,11,2,P27-S14,P61-S14,,29.1,0,4.8,14.4,165.48,1,telemetry
RADAR-11-na-west-human-web,human-web,na-west,T11,11,2,P27-S14,P67-S07,,19.81,0,3.15,10.5,360.76,2,mixed
RADAR-11-na-west-video-streaming,video-streaming,na-west,T11,11,3,P30-S16,P72-S12,,12.73,0,2.63,18.9,763.96,3,background
RADAR-11-na-west-automated,automated,na-west,T11,11,2,P45-S04,P25-S12,,11.32,0,2.1,8.4,283.23,4,routing
RADAR-COMPUTE-11-na-west,local-compute,na-west,T11,11,3,,,P42-S02,33.95,1,8.4,33.6,0,2,compute
RADAR-11-europe-human-web,human-web,europe,T11,11,2,P42-S19,P36-S21,,22.26,0,3.54,11.8,405.42,2,mixed
RADAR-11-europe-interactive-realtime,interactive-realtime,europe,T11,11,1,P48-S01,P46-S08,,25.44,0,2.36,7.08,226.56,1,routing
RADAR-11-europe-api,api,europe,T11,11,2,P51-S03,P51-S12,,28.62,0,4.72,14.16,162.73,1,telemetry
RADAR-11-europe-background-sync,background-sync,europe,T11,11,4,P54-S05,P56-S17,,15.9,0,3.54,23.6,191.03,3,background
RADAR-11-europe-dns-control,dns-control,europe,T11,11,1,P63-S11,P71-S08,,9.54,0,1.18,4.72,63.68,1,telemetry
RADAR-11-east-asia-human-web,human-web,east-asia,T11,11,2,P62-S03,P46-S05,,21.5,0,3.42,11.4,391.68,2,mixed
RADAR-11-east-asia-video-streaming,video-streaming,east-asia,T11,11,3,P65-S05,P51-S10,,13.82,0,2.85,20.52,829.44,3,background
RADAR-11-east-asia-software-update,software-update,east-asia,T11,11,5,P05-S13,P71-S06,,10.75,0,2.28,41.04,552.96,4,background
RADAR-11-south-america-human-web,human-web,south-america,T11,11,2,P05-S08,P44-S04,,14.34,0,2.4,8,261.12,2,mixed
RADAR-11-south-america-interactive-realtime,interactive-realtime,south-america,T11,11,1,P11-S12,P54-S13,,16.38,0,1.6,4.8,145.92,1,routing
RADAR-11-south-america-api,api,south-america,T11,11,2,P14-S14,P59-S17,,18.43,0,3.2,9.6,104.81,1,telemetry
RADAR-11-oceania-human-web,human-web,oceania,T11,11,2,P17-S13,P11-S17,,11.7,0,2.4,8,213.02,2,mixed
RADAR-11-oceania-video-streaming,video-streaming,oceania,T11,11,3,P20-S15,P16-S22,,7.52,0,2,14.4,451.1,3,background
RADAR-11-oceania-background-sync,background-sync,oceania,T11,11,4,P29-S21,P31-S13,,8.35,0,2.4,16,100.37,3,background
RADAR-11-oceania-automated,automated,oceania,T11,11,2,P35-S03,P41-S22,,6.68,0,1.6,6.4,167.24,4,routing
RADAR-COMPUTE-11-oceania,local-compute,oceania,T11,11,3,,,P32-S01,20.05,0,6.4,25.6,0,2,compute
RADAR-12-na-east-human-web,human-web,na-east,T12,12,2,P19-S09,P47-S01,,19.57,0,3.6,12,356.5,2,mixed
RADAR-12-na-east-video-streaming,video-streaming,na-east,T12,12,3,P22-S11,P52-S06,,12.58,0,3,21.6,754.95,3,background
RADAR-12-na-east-automated,automated,na-east,T12,12,2,P37-S21,P05-S06,,11.18,0,2.4,9.6,279.89,4,routing
RADAR-COMPUTE-12-na-east,local-compute,na-east,T12,12,3,,,P34-S19,33.55,1,9.6,38.4,0,2,compute
RADAR-12-na-west-human-web,human-web,na-west,T12,12,2,P28-S15,P68-S08,,17.13,0,3.15,10.5,311.94,2,mixed
RADAR-12-na-west-interactive-realtime,interactive-realtime,na-west,T12,12,1,P34-S19,P06-S17,,19.57,0,2.1,6.3,174.32,1,routing
RADAR-12-na-west-api,api,na-west,T12,12,2,P37-S21,P11-S21,,22.02,0,4.2,12.6,125.2,1,telemetry
RADAR-12-na-west-background-sync,background-sync,na-west,T12,12,4,P40-S01,P16-S04,,12.23,0,3.15,21,146.98,3,background
RADAR-12-na-west-dns-control,dns-control,na-west,T12,12,1,P49-S07,P31-S17,,7.34,0,1.05,4.2,48.99,1,telemetry
RADAR-12-europe-human-web,human-web,europe,T12,12,2,P43-S20,P37-S21,,19.25,0,3.54,11.8,350.56,2,mixed
RADAR-12-europe-video-streaming,video-streaming,europe,T12,12,3,P46-S22,P42-S04,,12.37,0,2.95,21.24,742.36,3,background
RADAR-12-europe-software-update,software-update,europe,T12,12,5,P58-S08,P62-S22,,9.62,0,2.36,42.48,494.91,4,background
RADAR-12-east-asia-human-web,human-web,east-asia,T12,12,2,P63-S04,P47-S06,,18.59,0,3.42,11.4,338.68,2,mixed
RADAR-12-east-asia-interactive-realtime,interactive-realtime,east-asia,T12,12,1,P69-S08,P57-S15,,21.25,0,2.28,6.84,189.26,1,routing
RADAR-12-east-asia-api,api,east-asia,T12,12,2,P72-S10,P62-S19,,23.91,0,4.56,13.68,135.94,1,telemetry
RADAR-12-south-america-human-web,human-web,south-america,T12,12,2,P06-S09,P45-S04,,12.4,0,2.4,8,225.78,2,mixed
RADAR-12-south-america-video-streaming,video-streaming,south-america,T12,12,3,P09-S11,P50-S09,,7.97,0,2,14.4,478.13,3,background
RADAR-12-south-america-background-sync,background-sync,south-america,T12,12,4,P18-S17,P65-S22,,8.85,0,2.4,16,106.38,3,background
RADAR-12-south-america-automated,automated,south-america,T12,12,2,P24-S21,P03-S09,,7.08,0,1.6,6.4,177.26,4,routing
RADAR-COMPUTE-12-south-america,local-compute,south-america,T12,12,3,,,P21-S19,21.25,0,6.4,25.6,0,2,compute
RADAR-12-oceania-human-web,human-web,oceania,T12,12,2,P18-S14,P12-S18,,10.11,0,2.4,8,184.19,2,mixed
RADAR-12-oceania-interactive-realtime,interactive-realtime,oceania,T12,12,1,P24-S18,P22-S05,,11.56,0,1.6,4.8,102.93,1,routing
RADAR-12-oceania-api,api,oceania,T12,12,2,P27-S20,P27-S09,,13,0,3.2,9.6,73.93,1,telemetry
RADAR-12-oceania-dns-control,dns-control,oceania,T12,12,1,P39-S06,P47-S05,,4.33,0,0.8,3.2,28.93,1,telemetry
RADAR-13-na-east-human-web,human-web,na-east,T13,13,2,P20-S09,P48-S02,,19.15,0,3.6,12,346.44,2,mixed
RADAR-13-na-east-interactive-realtime,interactive-realtime,na-east,T13,13,1,P26-S13,P58-S11,,21.88,0,2.4,7.2,193.6,1,routing
RADAR-13-na-east-api,api,na-east,T13,13,2,P29-S15,P63-S15,,24.62,0,4.8,14.4,141.56,1,telemetry
RADAR-13-na-east-background-sync,background-sync,na-east,T13,13,4,P32-S17,P68-S20,,13.68,0,3.6,24,166.18,3,background
RADAR-13-na-east-dns-control,dns-control,na-east,T13,13,1,P41-S01,P11-S11,,8.21,0,1.2,4.8,55.39,1,telemetry
RADAR-13-na-west-human-web,human-web,na-west,T13,13,2,P29-S15,P69-S08,,16.75,0,3.15,10.5,303.14,2,mixed
RADAR-13-na-west-video-streaming,video-streaming,na-west,T13,13,3,P32-S17,P02-S13,,10.77,0,2.63,18.9,641.94,3,background
RADAR-13-na-west-software-update,software-update,na-west,T13,13,5,P44-S03,P22-S09,,8.38,0,2.1,37.8,427.96,4,background
RADAR-13-europe-human-web,human-web,europe,T13,13,2,P44-S20,P38-S22,,18.83,0,3.54,11.8,340.67,2,mixed
RADAR-13-europe-interactive-realtime,interactive-realtime,europe,T13,13,1,P50-S02,P48-S09,,21.52,0,2.36,7.08,190.37,1,routing
RADAR-13-europe-api,api,europe,T13,13,2,P53-S04,P53-S13,,24.21,0,4.72,14.16,139.2,1,telemetry
RADAR-13-east-asia-human-web,human-web,east-asia,T13,13,2,P64-S04,P48-S06,,18.19,0,3.42,11.4,329.12,2,mixed
RADAR-13-east-asia-video-streaming,video-streaming,east-asia,T13,13,3,P67-S06,P53-S11,,11.69,0,2.85,20.52,696.96,3,background
RADAR-13-east-asia-background-sync,background-sync,east-asia,T13,13,4,P04-S12,P68-S02,,12.99,0,3.42,22.8,157.87,3,background
RADAR-13-east-asia-automated,automated,east-asia,T13,13,2,P10-S16,P06-S11,,10.39,0,2.28,9.12,260.13,4,routing
RADAR-COMPUTE-13-east-asia,local-compute,east-asia,T13,13,3,,,P07-S14,31.18,1,9.12,36.48,0,2,compute
RADAR-13-south-america-human-web,human-web,south-america,T13,13,2,P07-S09,P46-S05,,12.13,0,2.4,8,219.41,2,mixed
RADAR-13-south-america-interactive-realtime,interactive-realtime,south-america,T13,13,1,P13-S13,P56-S14,,13.86,0,1.6,4.8,122.61,1,routing
RADAR-13-south-america-api,api,south-america,T13,13,2,P16-S15,P61-S18,,15.59,0,3.2,9.6,89.65,1,telemetry
RADAR-13-south-america-dns-control,dns-control,south-america,T13,13,1,P28-S01,P09-S14,,5.2,0,0.8,3.2,35.08,1,telemetry
RADAR-13-oceania-human-web,human-web,oceania,T13,13,2,P19-S14,P13-S18,,9.89,0,2.4,8,178.99,2,mixed
RADAR-13-oceania-video-streaming,video-streaming,oceania,T13,13,3,P22-S16,P18-S01,,6.36,0,2,14.4,379.05,3,background
RADAR-14-na-east-human-web,human-web,na-east,T14,14,2,P21-S10,P49-S02,,18.9,0,3.6,12,341.94,2,mixed
RADAR-14-na-east-video-streaming,video-streaming,na-east,T14,14,3,P24-S12,P54-S07,,12.15,0,3,21.6,724.1,3,background
RADAR-14-na-east-software-update,software-update,na-east,T14,14,5,P36-S20,P02-S03,,9.45,0,2.4,43.2,482.73,4,background
RADAR-14-na-west-human-web,human-web,na-west,T14,14,2,P30-S16,P70-S09,,16.54,0,3.15,10.5,299.19,2,mixed
RADAR-14-na-west-interactive-realtime,interactive-realtime,na-west,T14,14,1,P36-S20,P08-S18,,18.9,0,2.1,6.3,167.2,1,routing
RADAR-14-na-west-api,api,na-west,T14,14,2,P39-S22,P13-S22,,21.26,0,4.2,12.6,122.25,1,telemetry
RADAR-14-europe-human-web,human-web,europe,T14,14,2,P45-S21,P39-S22,,18.58,0,3.54,11.8,336.24,2,mixed
RADAR-14-europe-video-streaming,video-streaming,europe,T14,14,3,P48-S01,P44-S05,,11.95,0,2.95,21.24,712.03,3,background
RADAR-14-europe-background-sync,background-sync,europe,T14,14,4,P57-S07,P59-S18,,13.27,0,3.54,23.6,161.28,3,background
RADAR-14-europe-automated,automated,europe,T14,14,2,P63-S11,P69-S05,,10.62,0,2.36,9.44,265.75,4,routing
RADAR-COMPUTE-14-europe,local-compute,europe,T14,14,3,,,P60-S09,31.86,1,9.44,37.76,0,2,compute
RADAR-14-east-asia-human-web,human-web,east-asia,T14,14,2,P65-S05,P49-S07,,17.95,0,3.42,11.4,324.84,2,mixed
RADAR-14-east-asia-interactive-realtime,interactive-realtime,east-asia,T14,14,1,P71-S09,P59-S16,,20.52,0,2.28,6.84,181.53,1,routing
RADAR-14-east-asia-api,api,east-asia,T14,14,2,P02-S11,P64-S20,,23.08,0,4.56,13.68,132.73,1,telemetry
RADAR-14-east-asia-dns-control,dns-control,east-asia,T14,14,1,P14-S19,P12-S16,,7.69,0,1.14,4.56,51.94,1,telemetry
RADAR-14-south-america-human-web,human-web,south-america,T14,14,2,P08-S10,P47-S05,,11.97,0,2.4,8,216.56,2,mixed
RADAR-14-south-america-video-streaming,video-streaming,south-america,T14,14,3,P11-S12,P52-S10,,7.69,0,2,14.4,458.6,3,background
RADAR-14-oceania-human-web,human-web,oceania,T14,14,2,P20-S15,P14-S19,,9.76,0,2.4,8,176.67,2,mixed
RADAR-14-oceania-interactive-realtime,interactive-realtime,oceania,T14,14,1,P26-S19,P24-S06,,11.16,0,1.6,4.8,98.73,1,routing
RADAR-14-oceania-api,api,oceania,T14,14,2,P29-S21,P29-S10,,12.55,0,3.2,9.6,72.19,1,telemetry
RADAR-14-oceania-background-sync,background-sync,oceania,T14,14,4,P32-S01,P34-S15,,6.97,0,2.4,16,84.74,3,background
RADAR-15-na-east-human-web,human-web,na-east,T15,15,2,P22-S10,P50-S03,,17.51,0,3.6,12,318.92,2,mixed
RADAR-15-na-east-interactive-realtime,interactive-realtime,na-east,T15,15,1,P28-S14,P60-S12,,20.01,0,2.4,7.2,178.22,1,routing
RADAR-15-na-east-api,api,na-east,T15,15,2,P31-S16,P65-S16,,22.51,0,4.8,14.4,128,1,telemetry
RADAR-15-na-west-human-web,human-web,na-west,T15,15,2,P31-S16,P71-S09,,15.32,0,3.15,10.5,279.05,2,mixed
RADAR-15-na-west-video-streaming,video-streaming,na-west,T15,15,3,P34-S18,P04-S14,,9.85,0,2.63,18.9,590.93,3,background
RADAR-15-na-west-background-sync,background-sync,na-west,T15,15,4,P43-S02,P19-S05,,10.94,0,3.15,21,131.48,3,background
RADAR-15-na-west-automated,automated,na-west,T15,15,2,P49-S06,P29-S14,,8.75,0,2.1,8.4,219.08,4,routing
RADAR-COMPUTE-15-na-west,local-compute,na-west,T15,15,3,,,P46-S04,26.26,1,8.4,33.6,0,2,compute
RADAR-15-europe-human-web,human-web,europe,T15,15,2,P46-S21,P40-S01,,17.22,0,3.54,11.8,313.6,2,mixed
RADAR-15-europe-interactive-realtime,interactive-realtime,europe,T15,15,1,P52-S03,P50-S10,,19.68,0,2.36,7.08,175.25,1,routing
RADAR-15-europe-api,api,europe,T15,15,2,P55-S05,P55-S14,,22.14,0,4.72,14.16,125.87,1,telemetry
RADAR-15-europe-dns-control,dns-control,europe,T15,15,1,P67-S13,P03-S10,,7.38,0,1.18,4.72,49.25,1,telemetry
RADAR-15-east-asia-human-web,human-web,east-asia,T15,15,2,P66-S05,P50-S07,,16.63,0,3.42,11.4,302.97,2,mixed
RADAR-15-east-asia-video-streaming,video-streaming,east-asia,T15,15,3,P69-S07,P55-S12,,10.69,0,2.85,20.52,641.58,3,background
RADAR-15-south-america-human-web,human-web,south-america,T15,15,2,P09-S10,P48-S06,,11.09,0,2.4,8,201.98,2,mixed
RADAR-15-south-america-interactive-realtime,interactive-realtime,south-america,T15,15,1,P15-S14,P58-S15,,12.67,0,1.6,4.8,112.87,1,routing
RADAR-15-south-america-api,api,south-america,T15,15,2,P18-S16,P63-S19,,14.26,0,3.2,9.6,81.07,1,telemetry
RADAR-15-south-america-background-sync,background-sync,south-america,T15,15,4,P21-S18,P68-S02,,7.92,0,2.4,16,95.17,3,background
RADAR-15-oceania-human-web,human-web,oceania,T15,15,2,P21-S15,P15-S19,,9.05,0,2.4,8,164.77,2,mixed
RADAR-15-oceania-video-streaming,video-streaming,oceania,T15,15,3,P24-S17,P20-S02,,5.82,0,2,14.4,348.93,3,background
RADAR-15-oceania-software-update,software-update,oceania,T15,15,5,P36-S03,P40-S20,,4.52,0,1.6,28.8,232.62,4,background
RADAR-15-oceania-automated,automated,oceania,T15,15,2,P39-S05,P45-S02,,5.17,0,1.6,6.4,129.36,4,routing
RADAR-COMPUTE-15-oceania,local-compute,oceania,T15,15,3,,,P36-S03,15.51,0,6.4,25.6,0,2,compute
RADAR-16-na-east-human-web,human-web,na-east,T16,16,2,P23-S11,P51-S03,,15.02,0,3.6,12,277.26,2,mixed
RADAR-16-na-east-video-streaming,video-streaming,na-east,T16,16,3,P26-S13,P56-S08,,9.66,0,3,21.6,587.13,3,background
RADAR-16-na-east-background-sync,background-sync,na-east,T16,16,4,P35-S19,P71-S21,,10.73,0,3.6,24,126.02,3,background
RADAR-16-na-east-automated,automated,na-east,T16,16,2,P41-S01,P09-S08,,8.58,0,2.4,9.6,214.81,4,routing
RADAR-COMPUTE-16-na-east,local-compute,na-east,T16,16,3,,,P38-S21,25.75,1,9.6,38.4,0,2,compute
RADAR-16-na-west-human-web,human-web,na-west,T16,16,2,P32-S17,P72-S10,,13.14,0,3.15,10.5,242.6,2,mixed
RADAR-16-na-west-interactive-realtime,interactive-realtime,na-west,T16,16,1,P38-S21,P10-S19,,15.02,0,2.1,6.3,135.57,1,routing
RADAR-16-na-west-api,api,na-west,T16,16,2,P41-S01,P15-S01,,16.9,0,4.2,12.6,93.93,1,telemetry
RADAR-16-na-west-dns-control,dns-control,na-west,T16,16,1,P53-S09,P35-S19,,5.63,0,1.05,4.2,36.76,1,telemetry
RADAR-16-europe-human-web,human-web,europe,T16,16,2,P47-S22,P41-S01,,14.77,0,3.54,11.8,272.64,2,mixed
RADAR-16-europe-video-streaming,video-streaming,europe,T16,16,3,P50-S02,P46-S06,,9.5,0,2.95,21.24,577.35,3,background
RADAR-16-east-asia-human-web,human-web,east-asia,T16,16,2,P67-S06,P51-S08,,14.27,0,3.42,11.4,263.4,2,mixed
RADAR-16-east-asia-interactive-realtime,interactive-realtime,east-asia,T16,16,1,P01-S10,P61-S17,,16.31,0,2.28,6.84,147.19,1,routing
RADAR-16-east-asia-api,api,east-asia,T16,16,2,P04-S12,P66-S21,,18.35,0,4.56,13.68,101.98,1,telemetry
RADAR-16-east-asia-background-sync,background-sync,east-asia,T16,16,4,P07-S14,P71-S04,,10.19,0,3.42,22.8,119.72,3,background
RADAR-16-south-america-human-web,human-web,south-america,T16,16,2,P10-S11,P49-S06,,9.51,0,2.4,8,175.6,2,mixed
RADAR-16-south-america-video-streaming,video-streaming,south-america,T16,16,3,P13-S13,P54-S11,,6.12,0,2,14.4,371.85,3,background
RADAR-16-south-america-software-update,software-update,south-america,T16,16,5,P25-S21,P02-S07,,4.76,0,1.6,28.8,247.9,4,background
RADAR-16-south-america-automated,automated,south-america,T16,16,2,P28-S01,P07-S11,,5.44,0,1.6,6.4,136.05,4,routing
RADAR-COMPUTE-16-south-america,local-compute,south-america,T16,16,3,,,P25-S21,16.31,0,6.4,25.6,0,2,compute
RADAR-16-oceania-human-web,human-web,oceania,T16,16,2,P22-S16,P16-S20,,7.76,0,2.4,8,143.25,2,mixed
RADAR-16-oceania-interactive-realtime,interactive-realtime,oceania,T16,16,1,P28-S20,P26-S07,,8.87,0,1.6,4.8,80.05,1,routing
RADAR-16-oceania-api,api,oceania,T16,16,2,P31-S22,P31-S11,,9.98,0,3.2,9.6,55.47,1,telemetry
RADAR-16-oceania-dns-control,dns-control,oceania,T16,16,1,P43-S08,P51-S07,,3.33,0,0.8,3.2,21.7,1,telemetry
RADAR-17-na-east-human-web,human-web,na-east,T17,17,2,P24-S11,P52-S04,,12.47,0,3.6,12,233.14,2,mixed
RADAR-17-na-east-interactive-realtime,interactive-realtime,na-east,T17,17,1,P30-S15,P62-S13,,14.25,0,2.4,7.2,130.28,1,routing
RADAR-17-na-east-api,api,na-east,T17,17,2,P33-S17,P67-S17,,16.03,0,4.8,14.4,87.05,1,telemetry
RADAR-17-na-east-dns-control,dns-control,na-east,T17,17,1,P45-S03,P15-S13,,5.34,0,1.2,4.8,34.06,1,telemetry
RADAR-17-na-west-human-web,human-web,na-west,T17,17,2,P33-S17,P01-S10,,10.91,0,3.15,10.5,204,2,mixed
RADAR-17-na-west-video-streaming,video-streaming,na-west,T17,17,3,P36-S19,P06-S15,,7.01,0,2.63,18.9,431.99,3,background
RADAR-17-europe-human-web,human-web,europe,T17,17,2,P48-S22,P42-S02,,12.26,0,3.54,11.8,229.25,2,mixed
RADAR-17-europe-interactive-realtime,interactive-realtime,europe,T17,17,1,P54-S04,P52-S11,,14.01,0,2.36,7.08,128.11,1,routing
RADAR-17-europe-api,api,europe,T17,17,2,P57-S06,P57-S15,,15.76,0,4.72,14.16,85.6,1,telemetry
RADAR-17-europe-background-sync,background-sync,europe,T17,17,4,P60-S08,P62-S20,,8.76,0,3.54,23.6,100.48,3,background
RADAR-17-east-asia-human-web,human-web,east-asia,T17,17,2,P68-S06,P52-S08,,11.84,0,3.42,11.4,221.48,2,mixed
RADAR-17-east-asia-video-streaming,video-streaming,east-asia,T17,17,3,P71-S08,P57-S13,,7.61,0,2.85,20.52,469.02,3,background
RADAR-17-east-asia-software-update,software-update,east-asia,T17,17,5,P11-S16,P05-S09,,5.92,0,2.28,41.04,312.68,4,background
RADAR-17-east-asia-automated,automated,east-asia,T17,17,2,P14-S18,P10-S13,,6.77,0,2.28,9.12,169.37,4,routing
RADAR-COMPUTE-17-east-asia,local-compute,east-asia,T17,17,3,,,P11-S16,20.3,1,9.12,36.48,0,2,compute
RADAR-17-south-america-human-web,human-web,south-america,T17,17,2,P11-S11,P50-S07,,7.9,0,2.4,8,147.65,2,mixed
RADAR-17-south-america-interactive-realtime,interactive-realtime,south-america,T17,17,1,P17-S15,P60-S16,,9.02,0,1.6,4.8,82.51,1,routing
RADAR-17-south-america-api,api,south-america,T17,17,2,P20-S17,P65-S20,,10.15,0,3.2,9.6,55.13,1,telemetry
RADAR-17-south-america-dns-control,dns-control,south-america,T17,17,1,P32-S03,P13-S16,,3.38,0,0.8,3.2,21.57,1,telemetry
RADAR-17-oceania-human-web,human-web,oceania,T17,17,2,P23-S16,P17-S20,,6.44,0,2.4,8,120.45,2,mixed
RADAR-17-oceania-video-streaming,video-streaming,oceania,T17,17,3,P26-S18,P22-S03,,4.14,0,2,14.4,255.08,3,background
RADAR-17-oceania-background-sync,background-sync,oceania,T17,17,4,P35-S02,P37-S16,,4.6,0,2.4,16,52.8,3,background
RADAR-18-na-east-human-web,human-web,na-east,T18,18,2,P25-S12,P53-S04,,10.75,0,3.6,12,202.25,2,mixed
RADAR-18-na-east-video-streaming,video-streaming,na-east,T18,18,3,P28-S14,P58-S09,,6.91,0,3,21.6,428.29,3,background
RADAR-18-na-west-human-web,human-web,na-west,T18,18,2,P34-S18,P02-S11,,9.4,0,3.15,10.5,176.97,2,mixed
